,No Dokumen,Tgl Dok,Kode Barang,Nama Barang,Jumlah,Keterangan,Tahun
20,023180500677604001KD202200008K,2022-01-24,1.01.03.06.005.000002,Steker GB Germany,2.0,Keperluan Lab. Sensor Device S2,2022
21,023180500677604001KD202200009K,2022-01-26,1.01.03.06.001.000242,Kabel Serabut NYMHY 3x2.5mm supreme,7.0,Keperluan Unit Kearsipan,2022
22,023180500677604001KD202200009K,2022-01-26,1.01.03.06.003.000003,"Stop Kontak 2Lb, Broco",3.0,Keperluan Unit Kearsipan,2022
23,023180500677604001KD202200009K,2022-01-26,1.01.03.06.003.000549,"Stop Kontak 3Lb, ground",3.0,Keperluan Unit Kearsipan,2022
24,023180500677604001KD202200009K,2022-01-26,1.01.03.06.005.000002,Steker GB Germany,3.0,Keperluan Unit Kearsipan,2022
25,023180500677604001KD202200009K,2022-01-26,1.01.03.06.999.000559,T Sambungan Putih,2.0,Keperluan Unit Kearsipan,2022
28,023180500677604001KD202200011K,2022-02-04,1.01.03.06.001.000050,Kabel Roll (10M),1.0,Keperluan Unit Rumah Tangga,2022
29,023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000104,Diode IN 4004,3.0,Keperluan Lab. Kendaraan Robotik,2022
30,023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000104,Diode IN 4004,47.0,Keperluan Lab. Kendaraan Robotik,2022
31,023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000233,Penyangga PCB 1 cm,80.0,Keperluan Lab. Kendaraan Robotik,2022
32,023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000233,Penyangga PCB 1 cm,20.0,Keperluan Lab. Kendaraan Robotik,2022
33,023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000262,Penyangga PCB 3cm Kuningan,100.0,Keperluan Lab. Kendaraan Robotik,2022
34,023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000263,Penyangga PCB 2cm kuningan,100.0,Keperluan Lab. Kendaraan Robotik,2022
35,023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000388,Photo Diode,60.0,Keperluan Lab. Kendaraan Robotik,2022
36,023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000388,Photo Diode,40.0,Keperluan Lab. Kendaraan Robotik,2022
37,023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000417,Push Button 4 Pin,65.0,Keperluan Lab. Kendaraan Robotik,2022
38,023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000630,Transistor BD 139,20.0,Keperluan Lab. Kendaraan Robotik,2022
39,023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.001028,IC L298,20.0,Keperluan Lab. Kendaraan Robotik,2022
40,023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.001624,"Buzzer 5V, bulat, diameter 2 cm, tinggi 1 cm",20.0,Keperluan Lab. Kendaraan Robotik,2022
41,023180500677604001KD202200012K,2022-02-08,1.01.03.06.002.000015,Led super bright merah kecil 5mm,100.0,Keperluan Lab. Kendaraan Robotik,2022
42,023180500677604001KD202200013K,2022-02-09,1.01.01.99.999.000004,HN05-1101 Horn Set,4.0,Keperluan Robot KRPAI,2022
44,023180500677604001KD202200013K,2022-02-09,1.01.01.99.999.000006,Hitech HS-85MG Servo,1.0,Keperluan Robot KRPAI,2022
45,023180500677604001KD202200013K,2022-02-09,1.01.01.99.999.000007,Dynamixel AX-18A 6pcs Bulk,1.0,Keperluan Robot KRPAI,2022
46,023180500677604001KD202200013K,2022-02-09,1.01.01.99.999.000008,AX-18A Gear Set,10.0,Keperluan Robot KRPAI,2022
47,023180500677604001KD202200014K,2022-02-10,1.01.01.99.999.000001,Dynamixel MX-28T,6.0,Keperluan Robot KRSTI,2022
48,023180500677604001KD202200014K,2022-02-10,1.01.01.99.999.000002,Dynamixel AX-12A,8.0,Keperluan Robot KRSTI,2022
49,023180500677604001KD202200014K,2022-02-10,1.01.01.99.999.000003,HN07-N101 Horn Set,13.0,Keperluan Robot KRSTI,2022
50,023180500677604001KD202200014K,2022-02-10,1.01.01.99.999.000004,HN05-1101 Horn Set,6.0,Keperluan Robot KRSTI,2022
51,023180500677604001KD202200014K,2022-02-10,1.01.01.99.999.000004,HN05-1101 Horn Set,4.0,Keperluan Robot KRSTI,2022
53,023180500677604001KD202200015K,2022-02-10,1.01.02.04.048.001396,Raspberry pi 3 up pi 4,15.0,Keperluan Lab. DSP Telkom,2022
54,023180500677604001KD202200016K,2022-02-14,1.01.02.04.048.000367,Obeng (-) (Sedang) Panjang,3.0,Keperluan Lab. Komunikasi Optik,2022
55,023180500677604001KD202200016K,2022-02-14,1.01.02.04.048.000368,Obeng (+) (Sedang) Panjang,3.0,Keperluan Lab. Komunikasi Optik,2022
56,023180500677604001KD202200016K,2022-02-14,1.01.02.04.048.000966,Tang Cucut Kecil 6,3.0,Keperluan Lab. Komunikasi Optik,2022
57,023180500677604001KD202200016K,2022-02-14,1.01.02.04.048.000970,Tang Potong Kecil,3.0,Keperluan Lab. Komunikasi Optik,2022
58,023180500677604001KD202200016K,2022-02-14,1.01.02.08.001.000044,Tang Cucut Diamond (Besar),3.0,Keperluan Lab. Komunikasi Optik,2022
59,023180500677604001KD202200016K,2022-02-14,1.01.02.08.001.000046,Tang Potong Prohek Sellery,2.0,Keperluan Lab. Komunikasi Optik,2022
60,023180500677604001KD202200016K,2022-02-14,1.01.03.06.003.000551,"Stop Kontak 6Lb, ground",5.0,Keperluan Lab. Komunikasi Optik,2022
61,023180500677604001KD202200016K,2022-02-14,1.01.03.06.005.000002,Steker GB Germany,10.0,Keperluan Lab. Komunikasi Optik,2022
62,023180500677604001KD202200016K,2022-02-14,1.01.03.06.999.000559,T Sambungan Putih,10.0,Keperluan Lab. Komunikasi Optik,2022
63,023180500677604001KD202200017K,2022-02-16,1.01.01.04.002.000002,"Pelumas Semprot WD-40, 412ml",2.0,Keperluan Lab. Sistem Benam,2022
64,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000033,Cap Elect 100uF 50V,200.0,Keperluan Lab. Sistem Benam,2022
65,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000036,Cap Elect 1uF 50V,100.0,Keperluan Lab. Sistem Benam,2022
66,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000103,Diode IN 4002,100.0,Keperluan Lab. Sistem Benam,2022
67,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000323,Resistor 3.3K 0.5W,200.0,Keperluan Lab. Sistem Benam,2022
68,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000414,Project Board GL-12,30.0,Keperluan Lab. Sistem Benam,2022
69,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000426,Resistor 1Ohm 0.5W,100.0,Keperluan Lab. Sistem Benam,2022
70,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000434,Resistor 100Ohm 0.5W,200.0,Keperluan Lab. Sistem Benam,2022
71,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000444,Resistor 1K 0.25W,206.0,Keperluan Lab. Sistem Benam,2022
72,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000444,Resistor 1K 0.25W,44.0,Keperluan Lab. Sistem Benam,2022
73,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000451,Resistor 2.7K 0.5W 5%,100.0,Keperluan Lab. Sistem Benam,2022
74,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000457,Resistor 2K 0.5W 5%,200.0,Keperluan Lab. Sistem Benam,2022
75,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000465,Resistor 3K 0.5W,200.0,Keperluan Lab. Sistem Benam,2022
76,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000473,Resistor 470Ohm 0.5W,200.0,Keperluan Lab. Sistem Benam,2022
77,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000513,Resistor 10K 0.25W,250.0,Keperluan Lab. Sistem Benam,2022
78,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000550,Resistor 10Ohm 0.5W,200.0,Keperluan Lab. Sistem Benam,2022
79,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000553,Resistor 100K 0.25W,200.0,Keperluan Lab. Sistem Benam,2022
80,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000601,Resistor 150K 0.5W,200.0,Keperluan Lab. Sistem Benam,2022
81,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000602,Resistor 150Ohm 0.25W,200.0,Keperluan Lab. Sistem Benam,2022
82,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000604,Resistor 180K 0.5W,200.0,Keperluan Lab. Sistem Benam,2022
83,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000607,Resistor 2.2K 0.25W,200.0,Keperluan Lab. Sistem Benam,2022
84,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000622,Transistor 2SC 535,15.0,Keperluan Lab. Sistem Benam,2022
85,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000624,Transistor 2SC 828,100.0,Keperluan Lab. Sistem Benam,2022
86,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000625,Transistor 2SC 829,100.0,Keperluan Lab. Sistem Benam,2022
87,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000706,Cap Elect 22uF 50V,70.0,Keperluan Lab. Sistem Benam,2022
88,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000706,Cap Elect 22uF 50V,30.0,Keperluan Lab. Sistem Benam,2022
89,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000715,Cap Elect 470uF 25V,95.0,Keperluan Lab. Sistem Benam,2022
90,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000715,Cap Elect 470uF 25V,5.0,Keperluan Lab. Sistem Benam,2022
91,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000730,Cap Elect 4.7uF 50V,100.0,Keperluan Lab. Sistem Benam,2022
92,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000946,"Resistor 270 Ohm 0,25W",185.0,Keperluan Lab. Sistem Benam,2022
93,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.000946,"Resistor 270 Ohm 0,25W",15.0,Keperluan Lab. Sistem Benam,2022
94,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.001640,"Resistor 4,7 K 0,25W",200.0,Keperluan Lab. Sistem Benam,2022
95,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.001645,"Resistor 5,1 K 0,25W",200.0,Keperluan Lab. Sistem Benam,2022
96,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.001650,Resistor 39 K 0.25W,250.0,Keperluan Lab. Sistem Benam,2022
97,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.001656,Resistor 680 Ohm 0.5W,200.0,Keperluan Lab. Sistem Benam,2022
98,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.001657,Resistor 8.2 K 0.25W,200.0,Keperluan Lab. Sistem Benam,2022
99,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.001658,Resistor 82 K 0.25W,200.0,Keperluan Lab. Sistem Benam,2022
100,023180500677604001KD202200017K,2022-02-16,1.01.02.04.048.001659,Resistor 33 K 0.5W,200.0,Keperluan Lab. Sistem Benam,2022
101,023180500677604001KD202200017K,2022-02-16,1.01.02.08.001.000022,Sarung Tangan,4.0,Keperluan Lab. Sistem Benam,2022
102,023180500677604001KD202200017K,2022-02-16,1.01.03.05.005.000002,"Kunci L Set Panjang 1,5-10mm Jonnesway",1.0,Keperluan Lab. Sistem Benam,2022
105,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000078,Conector RJ 45,100.0,Keperluan Lab. Factory Automation,2022
106,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000133,IC 74HC14,15.0,Keperluan Lab. Factory Automation,2022
107,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000219,Isolasi National 5milsx3 4,3.0,Keperluan Lab. Factory Automation,2022
108,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000221,"Jack Banana Hitam, merah",75.0,Keperluan Lab. Factory Automation,2022
109,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000233,Penyangga PCB 1 cm,30.0,Keperluan Lab. Factory Automation,2022
110,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000263,Penyangga PCB 2cm kuningan,30.0,Keperluan Lab. Factory Automation,2022
111,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000307,Resistor 27Ohm 0.5W,100.0,Keperluan Lab. Factory Automation,2022
112,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000326,Led 3mm,30.0,Keperluan Lab. Factory Automation,2022
113,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000327,Led Merah Kecil,30.0,Keperluan Lab. Factory Automation,2022
114,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000417,Push Button 4 Pin,20.0,Keperluan Lab. Factory Automation,2022
115,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000454,Resistor 22Ohm 0.25W,100.0,Keperluan Lab. Factory Automation,2022
116,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000455,Resistor 22Ohm 0.5W,100.0,Keperluan Lab. Factory Automation,2022
117,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000531,Header Single,20.0,Keperluan Lab. Factory Automation,2022
118,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000535,Skun Kabel U 2.5mm,50.0,Keperluan Lab. Factory Automation,2022
119,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000539,Soket IC 14 Pin,40.0,Keperluan Lab. Factory Automation,2022
120,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000580,Timah 1/4Kg,4.0,Keperluan Lab. Factory Automation,2022
121,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000946,"Resistor 270 Ohm 0,25W",100.0,Keperluan Lab. Factory Automation,2022
122,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.000970,Tang Potong Kecil,4.0,Keperluan Lab. Factory Automation,2022
123,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.001006,Skun Ferrules 0.5mm (100 pcs),6.0,Keperluan Lab. Factory Automation,2022
124,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.001007,Skun Ferrules 0.75mm (100 pcs),4.0,Keperluan Lab. Factory Automation,2022
125,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.001195,Diode Zener 15V,50.0,Keperluan Lab. Factory Automation,2022
126,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.001399,Soket Header Single 1x40P,20.0,Keperluan Lab. Factory Automation,2022
127,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.001551,Kapasitor MKM 100n,100.0,Keperluan Lab. Factory Automation,2022
128,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.001568,Pin Screw L 2pin,20.0,Keperluan Lab. Factory Automation,2022
129,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.001569,Pin Screw L 3pin,20.0,Keperluan Lab. Factory Automation,2022
130,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.001633,Soket Header Bar Double 40X2 pin,15.0,Keperluan Lab. Factory Automation,2022
131,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.001637,"Opto Isolator TLP521, Kemasan DIP 4 pin",40.0,Keperluan Lab. Factory Automation,2022
132,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.001649,Resistor 33 Ohm 0.25W,100.0,Keperluan Lab. Factory Automation,2022
133,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.001660,Resistor 33 Ohm 0.5W,100.0,Keperluan Lab. Factory Automation,2022
134,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.001662,Soket IC 16 pin,40.0,Keperluan Lab. Factory Automation,2022
135,023180500677604001KD202200019K,2022-03-02,1.01.02.04.048.001663,Soket IC 8 pin,40.0,Keperluan Lab. Factory Automation,2022
137,023180500677604001KD202200019K,2022-03-02,1.01.03.06.001.000237,Kabel NYAF 2.5mm hitam,2.0,Keperluan Lab. Factory Automation,2022
138,023180500677604001KD202200019K,2022-03-02,1.01.03.06.001.000238,Kabel NYAF 2.5mm merah,1.0,Keperluan Lab. Factory Automation,2022
139,023180500677604001KD202200019K,2022-03-02,1.01.03.06.002.000321,"Lampu Hemat Energi 20W 220V,",10.0,Keperluan Lab. Factory Automation,2022
140,023180500677604001KD202200019K,2022-03-02,1.01.03.06.999.000109,MCB C60N 6KA 3 Phase 6A-16A,4.0,Keperluan Lab. Factory Automation,2022
142,023180500677604001KD202200020K,2022-03-07,1.01.02.04.048.000524,Selongsong Asbes Hitam Tahan Panas 10mm,10.0,Keperluan Lab. PSE,2022
143,023180500677604001KD202200020K,2022-03-07,1.01.02.04.048.000565,Tang Kombinasi 8,1.0,Keperluan Lab. PSE,2022
144,023180500677604001KD202200020K,2022-03-07,1.01.02.04.048.000971,Tang Potong Besar,1.0,Keperluan Lab. PSE,2022
145,023180500677604001KD202200020K,2022-03-07,1.01.02.04.048.001032,Spiral Kabel Besar Putih kb1 KSS-8(10m pak),1.0,Keperluan Lab. PSE,2022
146,023180500677604001KD202200020K,2022-03-07,1.01.02.04.048.001677,Pinset,1.0,Keperluan Lab. PSE,2022
147,023180500677604001KD202200020K,2022-03-07,1.01.03.06.005.000002,Steker GB Germany,10.0,Keperluan Lab. PSE,2022
148,023180500677604001KD202200021K,2022-03-09,1.01.03.04.999.000090,Optical Mouse Logitech B100 USB,1.0,Keperluan Unit Kemahasiswaan,2022
149,023180500677604001KD202200022K,2022-03-11,1.01.02.04.048.000376,PCB Dot Matrik 10cm x 20cm,10.0,Kepeluan Lab Thermal,2022
150,023180500677604001KD202200022K,2022-03-11,1.01.02.04.048.000421,Relay Coil 12V DC Kecil Omron MY2 8pin,6.0,Kepeluan Lab Thermal,2022
151,023180500677604001KD202200022K,2022-03-11,1.01.02.04.048.000534,Skun Kabel U 1.5mm,50.0,Kepeluan Lab Thermal,2022
152,023180500677604001KD202200022K,2022-03-11,1.01.02.04.048.001006,Skun Ferrules 0.5mm (100 pcs),2.0,Kepeluan Lab Thermal,2022
153,023180500677604001KD202200022K,2022-03-11,1.01.02.04.048.001007,Skun Ferrules 0.75mm (100 pcs),2.0,Kepeluan Lab Thermal,2022
154,023180500677604001KD202200022K,2022-03-11,1.01.02.04.048.001684,Refill lem tembak besar,9.0,Kepeluan Lab Thermal,2022
155,023180500677604001KD202200022K,2022-03-11,1.01.02.08.001.000022,Sarung Tangan,36.0,Kepeluan Lab Thermal,2022
156,023180500677604001KD202200022K,2022-03-11,1.01.02.08.001.000264,"Cutting disk besi 4 x 1,2",80.0,Kepeluan Lab Thermal,2022
157,023180500677604001KD202200022K,2022-03-11,1.01.02.08.001.000284,Masker Corong NP 306,3.0,Kepeluan Lab Thermal,2022
158,023180500677604001KD202200022K,2022-03-11,1.01.03.06.999.000143,Over Steker Matsuka 3 in 1,5.0,Kepeluan Lab Thermal,2022
159,023180500677604001KD202200023K,2022-03-14,1.01.01.99.999.000009,Gearset MX-64,6.0,Keperluan Robot KRSBI,2022
160,023180500677604001KD202200023K,2022-03-14,1.01.01.99.999.000010,Gearset MX-106,5.0,Keperluan Robot KRSBI,2022
161,023180500677604001KD202200023K,2022-03-14,1.01.01.99.999.000011,Dynamixel MX-106R,2.0,Keperluan Robot KRSBI,2022
162,023180500677604001KD202200024K,2022-03-15,1.01.02.04.048.000254,Kuas 1,5.0,Keperluan Lab Ilmu Dasar,2022
163,023180500677604001KD202200024K,2022-03-15,1.01.02.04.048.000542,"Solder Biasa Goot, 40W-220V",3.0,Keperluan Lab Ilmu Dasar,2022
164,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000023,Resistor 22K 0.5W,100.0,Keperluan Lab Scada,2022
165,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000077,Conector Header Putih 2P,33.0,Keperluan Lab Scada,2022
166,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000077,Conector Header Putih 2P,17.0,Keperluan Lab Scada,2022
167,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000078,Conector RJ 45,100.0,Keperluan Lab Scada,2022
168,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000083,Resistor 220Ohm 0.25W,100.0,Keperluan Lab Scada,2022
169,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000104,Diode IN 4004,50.0,Keperluan Lab Scada,2022
170,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000111,Diode Zener 6.2V,50.0,Keperluan Lab Scada,2022
171,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000151,IC 7805,6.0,Keperluan Lab Scada,2022
172,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000151,IC 7805,42.0,Keperluan Lab Scada,2022
173,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000151,IC 7805,2.0,Keperluan Lab Scada,2022
174,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000160,IC ATMEGA 16,10.0,Keperluan Lab Scada,2022
175,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000175,IC LM 7809,25.0,Keperluan Lab Scada,2022
176,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000221,"Jack Banana Hitam, merah",10.0,Keperluan Lab Scada,2022
177,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000306,Resistor 27K 0.5W,100.0,Keperluan Lab Scada,2022
178,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000323,Resistor 3.3K 0.5W,100.0,Keperluan Lab Scada,2022
179,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000429,Resistor 1.2K 0.5W 1%,100.0,Keperluan Lab Scada,2022
180,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000445,Resistor 1K 0.5W 5%,100.0,Keperluan Lab Scada,2022
181,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000468,Resistor 3.9K 0.5W,70.0,Keperluan Lab Scada,2022
182,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000468,Resistor 3.9K 0.5W,30.0,Keperluan Lab Scada,2022
183,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000470,Resistor 4.7Ohm 0.25W,100.0,Keperluan Lab Scada,2022
184,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000534,Skun Kabel U 1.5mm,110.0,Keperluan Lab Scada,2022
185,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000698,Cap Elect 1000uF 25V,100.0,Keperluan Lab Scada,2022
186,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000708,Cap Elect 220uF 16V,100.0,Keperluan Lab Scada,2022
187,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000727,Cap Elect 220uF 50V,100.0,Keperluan Lab Scada,2022
188,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000728,Cap Elect 2200uF 50V,50.0,Keperluan Lab Scada,2022
189,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000730,Cap Elect 4.7uF 50V,100.0,Keperluan Lab Scada,2022
190,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000805,Diode Zener 5.1V,50.0,Keperluan Lab Scada,2022
191,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000814,IC 7812,20.0,Keperluan Lab Scada,2022
192,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000816,IC 7905,50.0,Keperluan Lab Scada,2022
193,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000817,IC 7912,20.0,Keperluan Lab Scada,2022
194,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.000881,Diode Zener 9.1 V,50.0,Keperluan Lab Scada,2022
195,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.001006,Skun Ferrules 0.5mm (100 pcs),5.0,Keperluan Lab Scada,2022
196,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.001007,Skun Ferrules 0.75mm (100 pcs),6.0,Keperluan Lab Scada,2022
197,023180500677604001KD202200025K,2022-03-17,1.01.02.04.048.001634,IC Regulator 7909,40.0,Keperluan Lab Scada,2022
198,023180500677604001KD202200025K,2022-03-17,1.01.02.08.001.000080,Cutter Acrilyc,3.0,Keperluan Lab Scada,2022
199,023180500677604001KD202200025K,2022-03-17,1.01.03.06.001.000060,KABEL PANEL SURYA SINYOKU 2X2.5mm 50meter,50.0,Keperluan Lab Scada,2022
200,023180500677604001KD202200025K,2022-03-17,1.01.03.06.001.000078,"Kabel Jumper Female to Female 40 Pin, Pj 20cm",2.0,Keperluan Lab Scada,2022
201,023180500677604001KD202200026K,2022-03-21,1.01.01.04.002.000002,"Pelumas Semprot WD-40, 412ml",3.0,Keperluan Lab Energi,2022
202,023180500677604001KD202200026K,2022-03-21,1.01.02.04.048.000564,Tang Kombinasi 6,2.0,Keperluan Lab Energi,2022
